type,difficulty,category,question,correct_answer,incorrect_answers
multiple,hard,Entertainment: Music,Which M83 album is the song &quot;Midnight City&quot; featured in?,"Hurry Up, We&#039;re Dreaming","[""Saturdays = Youth"",""Before the Dawn Heals Us"",""Junk""]"
multiple,easy,Science &amp; Nature,Which Apollo mission was the first one to land on the Moon?,Apollo 11,"[""Apollo 10"",""Apollo 9"",""Apollo 13""]"
multiple,medium,Science &amp; Nature,What mineral has the lowest number on the Mohs scale?,Talc,"[""Quartz"",""Diamond"",""Gypsum""]"
multiple,easy,Entertainment: Video Games,Who is the protagonist in the game &quot;The Walking Dead: Season One&quot;?,Lee Everett,"[""Clementine"",""Kenny"",""Rick Grimes""]"
multiple,medium,History,"When did L. L. Zamenhof first publish &quot;Unua Libro&quot;, the first publication describing his international language Esperanto?",1887,"[""1897"",""1905"",""1915""]"
boolean,easy,Entertainment: Books,"&quot;Elementary, my dear Watson&quot; is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",True,"[""False""]"
multiple,medium,Celebrities,What year did radio icon Howard Stern start a job at radio station WNBC?,1982,"[""1985"",""1984"",""1995""]"
multiple,medium,Sports,Who won the 2015 College Football Playoff (CFP) National Championship? ,Ohio State Buckeyes,"[""Alabama Crimson Tide"",""Clemson Tigers"",""Wisconsin Badgers""]"
boolean,medium,Politics,George W. Bush lost the popular vote in the 2004 United States presidential election.,False,"[""True""]"
multiple,easy,Entertainment: Music,"What was the name of singer Frank Ocean&#039;s second studio album, which was released on August 20, 2016?",Blonde,"[""Brunette"",""Black"",""Burgundy""]"
boolean,easy,Geography,"There is an island in Japan called Ōkunoshima, A.K.A. &quot;Rabbit Island&quot;, so named because of it&#039;s huge population of rabbits.",True,"[""False""]"
multiple,hard,Science: Computers,How many Hz does the video standard PAL support?,50,"[""59"",""60"",""25""]"
multiple,medium,Entertainment: Film,Who voiced Metalbeard in &quot;The Lego Movie&quot;?,Nick Offerman,"[""Liam Neeson"",""Morgan Freeman"",""Will Arnet""]"
boolean,medium,Science: Mathematics,Zero factorial is equal to zero. ,False,"[""True""]"
multiple,medium,Entertainment: Video Games,Which of these is NOT a game under the Worms series?,Major Malfunction,"[""Crazy Golf"",""Clan Wars"",""Ultimate Mayhem""]"
multiple,hard,Entertainment: Musicals &amp; Theatres,"In Macbeth, the eyes of what animals were used in the Witches&#039; cauldron?",Newts,"[""Humans"",""Sharks"",""Squids""]"
