type,difficulty,category,question,correct_answer,incorrect_answers
boolean,easy,Entertainment: Video Games,"In &quot;Sonic Adventure&quot;, you are able to transform into Super Sonic at will after completing the main story.",False,"[""True""]"
multiple,hard,Entertainment: Video Games,"In the game &quot;The Sims&quot;, how many Simoleons does each family start with?","20,000","[""10,000"",""15,000"",""25,000""]"
multiple,easy,Entertainment: Film,Which of the following movies was not based on a novel by Stephen King? ,The Thing,"[""Carrie"",""Misery"",""The Green Mile""]"
multiple,medium,History,"One of the deadliest pandemics, the &quot;Spanish Flu&quot;, killed off what percentage of the human world population at the time?",3 to 6 percent,"[""6 to 10 percent"",""1 to 3 percent"",""less than 1 percent""]"
multiple,medium,Science &amp; Nature,What is the study of the cells and tissues of plants and animals?,Histology,"[""Microbiology"",""Anatomy"",""Biochemistry""]"
boolean,medium,Science &amp; Nature,The most frequent subconscious activity repeated by the human body is blinking.,False,"[""True""]"
multiple,easy,Celebrities,Which celebrity announced his presidency in 2015?,Kanye West,"[""Donald Trump"",""Leonardo DiCaprio"",""Miley Cyrus""]"
multiple,medium,Entertainment: Video Games,Who was the mascot of SEGA before &quot;Sonic the Hedgehog&quot;?,Alex Kidd,"[""Opa Opa"",""NiGHTS"",""Ristar""]"
multiple,medium,General Knowledge,Who is a co-founder of music streaming service Spotify?,Daniel Ek,"[""Sean Parker"",""Felix Miller"",""Michael Breidenbruecker""]"
multiple,medium,Entertainment: Music,"The co-creator of Gorillaz, Damon Albarn, is also the lead singer of what band?",Blur,"[""Oasis"",""Radiohead"",""Queens of the Stone Age""]"
multiple,medium,Entertainment: Video Games,"In the game Destiny, who succeeded Peter Dinklage in voicing the protagonist&#039;s &quot;Ghost&quot;?",Nolan North,"[""John DiMaggio"",""Mark Hamill"","" Troy Baker""]"
boolean,medium,Science: Computers,FLAC stands for &quot;Free Lossless Audio Condenser&quot;&#039;,False,"[""True""]"
multiple,hard,Science: Gadgets,Which of the following is used to measure blood pressure?,Sphygmomanometer,"[""Barometer"",""Ruler"",""Haemoerythrometer""]"
multiple,medium,Entertainment: Video Games,"In the &quot;Ace Attorney&quot; series, what is the relationship between Apollo Justice and Trucy Wright?",They&#039;re half-siblings,"[""They&#039;re co-workers"",""They&#039;re friends"",""They&#039;re both attorneys""]"
multiple,hard,Entertainment: Music,Pamina and Papageno are characters in what Mozart opera?,The Magic Flute,"[""The Marriage of Figaro"",""The Impresario"",""The Goose of Cairo""]"
multiple,hard,Science: Computers,The Harvard architecture for micro-controllers added which additional bus?,Instruction,"[""Address"",""Data"",""Control""]"
