type,difficulty,category,question,correct_answer,incorrect_answers
multiple,medium,General Knowledge,What is real haggis made of?,"Sheep&#039;s Heart, Liver and Lungs","[""Sheep&#039;s Heart, Kidneys and Lungs"",""Sheep&#039;s Liver, Kidneys and Eyes"",""Whole Sheep""]"
multiple,easy,Entertainment: Books,In what Harry Potter book was a Horcrux first encountered?,The Chamber of Secrets,"[""The Half-Blood Prince"",""The Goblet of Fire"",""The Deathly Hallows""]"
multiple,hard,General Knowledge,"In &quot;Resident Evil 3&quot;, how many inventory slots does Jill have at the start of the game?",8,"[""6"",""10"",""12""]"
multiple,medium,Science &amp; Nature,"The humerus, paired radius, and ulna come together to form what joint?",Elbow,"[""Knee"",""Sholder"",""Ankle""]"
multiple,easy,Entertainment: Television,The &quot;Psycho&quot; series of videos on YouTube was created by which of the following?,RiDGiD STUDiOS,"[""Dan Bell"",""Billy Familia"",""VeganGainz""]"
multiple,medium,Science &amp; Nature,Which of the following is NOT a passive electrical component?,Transistor,"[""Resistor"",""Capacitor"",""Inductor""]"
multiple,medium,Science &amp; Nature,The human right lung has how many lobes?,3,"[""4"",""2"",""1""]"
multiple,easy,Sports,Who won the UEFA Champions League in 2017?,Real Madrid C.F.,"[""Atletico Madrid"",""AS Monaco FC"",""Juventus F.C.""]"
multiple,medium,Entertainment: Television,In Game of Thrones what is the name of Jon Snow&#039;s sword?,Longclaw,"[""Oathkeeper"",""Widow&#039;s Wail"",""Needle""]"
multiple,easy,Entertainment: Television,In the show &quot;Tengen Toppa Gurren Lagann&quot; what is the name of the character who force everyone to live underground?,Lordgenome,"[""Kingloname"",""Lord Genome"",""King Loname""]"
multiple,medium,General Knowledge,What is the name given to Indian food cooked over charcoal in a clay oven?,Tandoori,"[""Biryani"",""Pani puri"",""Tiki masala""]"
multiple,hard,Entertainment: Film,What is the name of the assassin in the first &quot;Hellboy&quot; movie?,Karl Ruprecht Kroenen,"[""Klaus Werner von Krupt"",""Grigori Efimovich Rasputin"",""Ilsa Haupstein""]"
multiple,easy,Sports,"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",1-7,"[""1-5"",""1-6"",""2-6""]"
multiple,medium,General Knowledge,What was Mountain Dew&#039;s original slogan?,Yahoo! Mountain Dew... It&#039;ll tickle your innards!,"[""Give Me A Dew"",""Do The Dew"",""Get&#039; that barefoot feelin&#039; drinkin&#039; Mountain Dew""]"
boolean,medium,Entertainment: Video Games,&quot;Metal Gear Solid 3: Snake Eater&quot; takes place on Shadow Moses Island.,False,"[""True""]"
multiple,medium,Entertainment: Video Games,"In &quot;Resident Evil 2&quot;, which virus was William Birkin mutated by?",G-Virus,"[""T-Virus"",""C-Virus"",""E-Virus""]"
